Company Name,Industry,Symbol,Series,ISIN Code
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
